Name,Link,date,Time,platform,type
"Abstraction, Problem Decomposition, and Functions",https://www.coursera.org/account/accomplishments/verify/JDPPX3VMEEH5,5-May-24,16 hours ,coursera,course
Docker Fundamentals,https://www.coursera.org/account/accomplishments/verify/DH28NO3K8IBP,25-Oct-24,3 hours ,coursera,course
Building a Data Science Team,https://www.coursera.org/account/accomplishments/verify/GPBZJX2WNMET,29-May-24,5 hours ,coursera,course
A Crash Course in Data Science,https://www.coursera.org/account/accomplishments/verify/97BRTHXMCLFW,24-May-24,6 hours ,coursera,course
Regression and Classification,https://www.coursera.org/account/accomplishments/verify/DS89F3Q7C8TB,18-Mar-24,34 hours,coursera,course
Foundations of Data Science,https://www.coursera.org/account/accomplishments/verify/NEUAVMVPDGX5,11-Nov-23,24 hours,coursera,course
Data Scientist Career Guide and Interview Preparation,https://www.coursera.org/account/accomplishments/verify/22LK4SHBDHCE,12-Nov-23,9 hours,coursera,course
Integral Calculus and Numerical Analysis for Data Science,https://www.coursera.org/account/accomplishments/verify/4GXZ8GPBHBTJ,30-Nov-23,3 hours,coursera,course
Fundamentals of Data Visualization,https://www.coursera.org/account/accomplishments/verify/43W5ZCWBC25T,20-Mar-24,14 hours,coursera,course
Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/account/accomplishments/verify/M75DP9BBYD9K,12-Mar-24,15 hours,coursera,course
Understanding and Visualizing Data with Python,https://www.coursera.org/account/accomplishments/verify/RQDRQQX68TRG,18-Dec-22,19 hours,coursera,course
IBM Capstone Project ,https://www.coursera.org/account/accomplishments/verify/5JSF5AS6ESUJ,23-Dec-23,,coursera,course
"Algorithms, Data Collection, and Starting to Code",https://www.coursera.org/account/accomplishments/verify/SUEQXE6UJVQ3,19-Mar-24,15 hours,coursera,course
Get Started with Python,https://www.coursera.org/account/accomplishments/verify/REM23ET8JRLZ,14-Nov-23,30 hours,coursera,course
Essential Linear Algebra for Data Science,https://www.coursera.org/account/accomplishments/verify/YDRBCQ88SUWV,25-Jul-22,7 hours ,coursera,course
Data Analysis with Python,https://www.coursera.org/account/accomplishments/verify/EYDX4PFRW5YP,6-Aug-22,15 hours,coursera,course
Statistics for Data Science with Python,https://www.coursera.org/account/accomplishments/verify/FENAJV8DP7RD,12-Jul-22,14 hours,coursera,course
Applied Data Science Capstone,https://www.coursera.org/account/accomplishments/verify/MDD5G78S2JHV,10-Oct-22,13 hours ,coursera,course
Data Visualization with Python,https://www.coursera.org/account/accomplishments/verify/VUKE8T6PAPEU,17-Aug-22,20 hours ,coursera,course
Databases and SQL for Data Science with Python,https://www.coursera.org/account/accomplishments/verify/YRUGRSEV35A4,8-Jun-22,20 hours,coursera,course
Machine Learning with Python,https://www.coursera.org/account/accomplishments/verify/ZD5DXJ27HDU4,10-Sep-22,13 hours,coursera,course
Introduction to R Programming for Data Science,https://www.coursera.org/account/accomplishments/verify/HTT4DAEAUKBC,10-Jun-22,10 hours ,coursera,course
Python Project for Data Science,https://www.coursera.org/account/accomplishments/verify/TSEVDQJ8ZTQS,10-May-22,8 hours,coursera,course
Algebra and Differential Calculus for Data Science,https://www.coursera.org/account/accomplishments/verify/QPWRJ2WDYDRD,20-May-22,8 hours,coursera,course
What is Data Science? ,https://www.coursera.org/account/accomplishments/verify/W7R6S2R5L6S8,12-Apr-22,11 hours,coursera,course
"Python for Data Science, AI & Development",https://www.coursera.org/account/accomplishments/verify/75Y7CZ5K9NRG,6-May-22,25 hours,coursera,course
Tools for Data Science,https://www.coursera.org/account/accomplishments/verify/E72ZJZYDZYZE,22-Apr-22,18 hours,coursera,course
CI/CD for Machine Learning,https://www.datacamp.com/completed/statement-of-accomplishment/course/349925681f56df9664510c09c409ce692e14b65e,25-Jan-25,5 hours,datacamp,course
